null,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
97,1.0,spring-ws,DefaultStrategiesHelper,org.springframework.ws.support.defaultstrategieshelpertest.testgetdefaultstrategymorethanone,False,True,True
121,1.0,spring-ws,LastModifiedHelper,org.springframework.ws.transport.http.lastmodifiedhelpertest.teststreamsource,False,False,False
129,1.0,spring-ws,JmsTransportUtils,org.springframework.ws.transport.jms.support.jmstransportutilstest.jndi,False,True,False
141,1.0,spring-ws,StringResult,org.springframework.xml.transform.stringresulttest.teststringresult,True,True,False
142,1.0,spring-ws,TraxUtils,org.springframework.xml.transform.traxutilstest.testdowithsaxsource,True,True,True
150,1.0,spring-ws,XmlValidatorFactory,org.springframework.xml.validation.xmlvalidatorfactorytest.testcreatevalidator,False,False,True
7,1.0,spring-ws,InterceptorsBeanDefinitionParser,org.springframework.ws.config.interceptorsbeandefinitionparsertest.ordering,False,True,True
8,1.0,spring-ws,DefaultMessageContext,org.springframework.ws.context.defaultmessagecontexttest.testproperties,True,True,True
24,1.0,spring-ws,MarshallingPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.marshallingpayloadmethodprocessortest.handlereturnvalue,False,False,False
42,1.0,spring-ws,SimpleMethodEndpointMapping,org.springframework.ws.server.endpoint.mapping.simplemethodendpointmappingtest.testgetlookupkeyformessagenonamespace,False,False,True
48,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testgetendpointadaptersupportedendpoint,False,True,True
51,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testnormalflow,False,True,True
59,1.0,spring-ws,SaajUtils,org.springframework.ws.soap.saaj.support.saajutilstest.testtoname,False,True,True
64,1.0,spring-ws,KeyStoreCallbackHandler,org.springframework.ws.soap.security.wss4j2.callback.keystorecallbackhandlertest.testhandlekeyname,False,False,False
75,1.0,spring-ws,XwsSecurityInterceptor,org.springframework.ws.soap.security.xwss.xwssecurityinterceptortest.testhandleclientresponse,False,True,False
77,1.0,spring-ws,SoapMethodArgumentResolver,org.springframework.ws.soap.server.endpoint.adapter.method.soapmethodargumentresolvertest.resolvesoapenvelopesaaj,False,False,False
86,1.0,spring-ws,SoapFaultAnnotationExceptionResolver,org.springframework.ws.soap.server.endpoint.soapfaultannotationexceptionresolvertest.testresolveexceptionreceiversoap12,False,True,False
99,1.0,spring-ws,MarshallingUtils,org.springframework.ws.support.marshallingutilstest.testunmarshalmime,False,True,True
125,1.0,spring-ws,WsdlDefinitionHandlerAdapter,org.springframework.ws.transport.http.wsdldefinitionhandleradaptertest.handlesimplewsdl11definitionwithtransformlocation,False,True,False
