full_name,name,description,topics,stars,forks,watchers,open_issues,size,created_at,updated_at,pushed_at,archived,disabled,url
vert-x3/vertx-mqtt,vertx-mqtt,"Vert.x MQTT",['client'- 'iot'- 'mqtt'- 'reactive'- 'rxjava'- 'rxjava2'- 'server'- 'vertx'],146,75,146,45,966,2016-09-29T08:35:24Z,2022-06-10T09:05:49Z,2022-07-06T14:00:33Z,False,False,https://github.com/vert-x3/vertx-mqtt
logzio/sawmill,sawmill,"Sawmill is a JSON transformation Java library",['geoip'- 'grok'- 'json'- 'maxmind'- 'mustache'- 'opensource'- 'transformation'- 'user-agent'],96,17,96,6,113134,2016-09-26T17:10:59Z,2022-07-19T21:25:57Z,2022-07-20T12:20:20Z,False,False,https://github.com/logzio/sawmill
dromara/hutool,hutool,"🍬A set of tools that keep Java sweet.",['http'- 'hutool'- 'java'- 'json'- 'orm'- 'tool'- 'util'],23374,6549,23374,2,44874,2014-04-13T07:23:51Z,2022-07-20T12:03:50Z,2022-07-20T05:38:13Z,False,False,https://github.com/dromara/hutool
ppiastucki/recast4j,recast4j,"Java Port of Recast & Detour navigation mesh toolset",['detour'- 'game-development'- 'java'- 'navmesh'- 'pathfinding'],175,69,175,1,2904,2015-06-18T16:56:24Z,2022-07-12T13:13:26Z,2022-06-15T06:01:07Z,False,False,https://github.com/ppiastucki/recast4j
wikimedia/search-highlighter,search-highlighter,"Github mirror of 'search/highlighter' - our actual code is hosted with Gerrit (please see https://www.mediawiki.org/wiki/Developer_access for contributing",[],93,34,93,14,1221,2014-04-01T20:36:07Z,2022-06-16T01:42:15Z,2022-03-18T13:57:09Z,False,False,https://github.com/wikimedia/search-highlighter
jhipster/jhipster-registry,jhipster-registry,"JHipster Registry. based on Spring Cloud Netflix Eureka and Spring Cloud Config",['eureka'- 'hacktoberfest'- 'jhipster'- 'spring-configuration'],656,650,656,20,14974,2016-02-05T12:47:59Z,2022-07-10T01:03:02Z,2022-04-12T22:01:45Z,False,False,https://github.com/jhipster/jhipster-registry
spring-projects/spring-boot,spring-boot,"Spring Boot",['framework'- 'java'- 'spring'- 'spring-boot'],62255,36788,62255,574,153463,2012-10-19T15:02:57Z,2022-07-20T09:35:30Z,2022-07-20T11:30:20Z,False,False,https://github.com/spring-projects/spring-boot
TooTallNate/Java-WebSocket,Java-WebSocket,"A barebones WebSocket client and server implementation written in 100% Java.",[],9186,2427,9186,31,4061,2010-01-20T23:33:04Z,2022-07-20T05:19:43Z,2022-07-04T17:13:50Z,False,False,https://github.com/TooTallNate/Java-WebSocket
spring-projects/spring-ws,spring-ws,"Spring Web Services",[],266,272,266,183,21240,2013-01-30T12:50:51Z,2022-05-30T03:15:04Z,2022-04-30T13:00:41Z,False,False,https://github.com/spring-projects/spring-ws
doanduyhai/Achilles,Achilles,"An advanced Java Object Mapper/Query DSL generator for Cassandra",[],239,92,239,27,104794,2012-11-17T09:26:30Z,2022-07-14T02:18:30Z,2022-05-14T00:30:27Z,False,False,https://github.com/doanduyhai/Achilles
FroMage/redpipe,redpipe,"Redpipe Web Framework",[],69,10,69,28,2335,2017-07-06T12:12:40Z,2021-06-17T11:28:09Z,2021-10-23T04:47:06Z,False,False,https://github.com/FroMage/redpipe
spring-attic/spring-cloud-aws,spring-cloud-aws,"All development has moved to https://github.com/awspring/spring-cloud-aws Integration for Amazon Web Services APIs with Spring",['aws'- 'aws-cloudformation'- 'aws-elasticache'- 'aws-java-sdk'- 'aws-rds'- 'aws-ses'- 'aws-sqs'- 'hacktoberfest'- 'java'- 'spring'- 'spring-boot'- 'spring-cloud'- 'spring-cloud-core'],590,386,590,93,46934,2014-10-27T14:30:09Z,2022-07-07T03:33:50Z,2022-01-18T20:17:15Z,True,False,https://github.com/spring-attic/spring-cloud-aws
intuit/wasabi,wasabi,"Wasabi A/B Testing service is an open source project that is no longer under active development or being supported",[],1067,236,1067,126,19449,2016-06-21T21:21:06Z,2022-07-10T11:35:45Z,2022-07-15T19:43:35Z,False,False,https://github.com/intuit/wasabi
